ABloss,Bobloss,Eveloss
8.84558,8.647718801279552,8.664467
8.759177,8.579576636606362,8.734478
8.697009,8.542897345556412,8.774529
8.48632,8.348846121923998,8.766187
8.562847,8.447969723842107,8.689337
8.5888,8.483638675592374,8.733097
8.491089,8.381780510535464,8.662304
8.476366,8.36764327523997,8.8186
8.554196,8.452352711290587,8.7050295
8.443159,8.334637993888464,8.768961
8.515589,8.41194207785884,8.745325
8.472115,8.368536961148493,8.704088
8.41677,8.312643681885675,8.74404
8.4529915,8.345409318397287,8.616327
8.508677,8.409775679407176,8.696062
8.397726,8.29372899379814,8.720087
8.426427,8.323272257344797,8.770481
8.390206,8.296193443704396,8.699666
8.449754,8.349019286688417,8.748306
8.383536,8.285911031649448,8.675224
8.4288435,8.327020392753184,8.583181
8.411229,8.312191719480325,8.69754
8.386698,8.286259815387893,8.803667
8.394745,8.294469118642155,8.644477
8.336338,8.239408584311604,8.712609
8.277459,8.178683939622715,8.69418
8.360532,8.261688659840729,8.672525
8.299964,8.200813910108991,8.6145735
8.264371,8.16197172581451,8.660822
8.336793,8.235471308405977,8.638243
8.391058,8.293692453589756,8.6936
8.303293,8.203223773627542,8.643198
8.456791,8.362624386674725,8.758982
8.342975,8.246967917308211,8.749352
8.351925,8.258770282845944,8.624498
8.229315,8.12617144669639,8.697466
8.33568,8.237740006821696,8.662009
8.229817,8.131080279883463,8.705355
8.264776,8.169778336712625,8.629068
8.29474,8.196033619577065,8.602693
8.273305,8.176613321411423,8.622802
8.226717,8.125276499835309,8.752514
8.217193,8.119257126876619,8.780411
8.217194,8.119660539727192,8.843578
8.344304,8.252519477857277,8.758629
8.182077,8.083463427959941,8.754958
8.249682,8.153398256923538,8.776056
8.344375,8.249276339891367,8.790812
8.247247,8.150903630070388,8.669252
8.249215,8.15257651405409,8.756366
8.389603,8.294738497410435,8.764872
8.251723,8.156045411189552,8.732977
8.232383,8.137630012643058,8.848654
8.31136,8.216601790394634,8.650883
8.276321,8.18131362227723,8.75657
8.31778,8.22445255308412,8.818628
8.30917,8.212993873981759,8.814487
8.1085205,8.008228407939896,8.781008
8.340916,8.249353279534262,8.81299
8.346708,8.2541567509179,8.802467
8.32386,8.232215775060467,8.705683
8.288155,8.194314812717494,8.869251
