ABloss,Bobloss,Eveloss
8.530862,8.389459581230767,8.454029
8.530989,8.404336318645317,8.409494
8.447096,8.321853143551076,8.415524
8.48283,8.357999420259148,8.39167
8.452099,8.330463972912792,8.41272
8.421552,8.307080752643135,8.450853
8.285117,8.172822346522782,8.406342
8.396374,8.288642701149609,8.535618
8.299815,8.188701454666443,8.305573
8.310309,8.198958844916586,8.509998
8.281188,8.168867071197988,8.47994
8.200158,8.087365020997822,8.471777
8.25227,8.141660895897076,8.428354
8.271185,8.162524826009758,8.462791
8.261132,8.155766698881052,8.482578
8.325179,8.222732043475844,8.479365
8.289432,8.18657744625428,8.379051
8.299357,8.198211206317257,8.389683
8.144913,8.041252074957203,8.376615
8.292175,8.19229905528482,8.483816
8.331242,8.233583132969216,8.526634
8.177782,8.075289037815917,8.43693
8.201208,8.097404184712408,8.49578
8.231628,8.130097014635492,8.436371
8.220969,8.120083770093817,8.528065
8.159455,8.056207935985487,8.508244
8.266688,8.165579418923395,8.503045
8.158948,8.056549201059777,8.504225
8.237608,8.138478573256483,8.420473
8.111225,8.007148823468015,8.557347
8.158329,8.057311817033527,8.54356
8.156597,8.05476400089295,8.483097
8.236498,8.13843390706461,8.496723
8.212685,8.113230378289398,8.453527
8.2496605,8.153029926703312,8.468538
8.228938,8.129705123448122,8.492374
8.250298,8.151227516665433,8.48959
8.210989,8.111420121975243,8.488022
8.241804,8.14323106163647,8.559515
8.198511,8.100689916871488,8.410717
8.31277,8.216125994416263,8.442507
8.134546,8.033650032322234,8.501656
8.147764,8.047956171484353,8.578302
8.224016,8.12487195963816,8.467125
8.212709,8.115025264210999,8.504496
8.183534,8.0833827451958,8.476978
8.198688,8.099011006959094,8.621403
8.129861,8.029109202053707,8.596159
8.288378,8.191620988305658,8.487164
8.1553955,8.056317951607829,8.601037
8.205789,8.107137411794003,8.503103
8.18482,8.086535717205455,8.436412
8.203406,8.106364536603603,8.484842
8.181846,8.083489567157812,8.5350685
8.162807,8.064020870175835,8.466965
8.190216,8.092224018104996,8.606199
8.171448,8.072630066579828,8.57217
8.115023,8.014577584496388,8.519173
8.1275625,8.027360150474124,8.57404
8.2513895,8.155609585888064,8.4706
8.200957,8.102849590630893,8.579144
8.239413,8.142785163402248,8.474016
8.0829935,7.982667383466226,8.48354
8.182269,8.083871040687276,8.576838
8.120947,8.021581631697092,8.583204
8.12998,8.032536334086519,8.580879
8.204743,8.107947667789025,8.550018
8.1528425,8.054623088100925,8.603835
8.202558,8.10720042232424,8.54496
8.184561,8.087812547494348,8.579539
8.186927,8.089517164160497,8.702874
8.153685,8.057131251203828,8.521816
8.168046,8.070889803270498,8.599718
8.13133,8.033491894680385,8.570629
8.182825,8.085845622699708,8.702013
8.190896,8.09511000989005,8.630549
8.130136,8.033028696508456,8.680748
8.222388,8.12750523246359,8.513489
8.189706,8.093178793244684,8.610395
8.123961,8.02562707530645,8.597759
8.196493,8.100432670054337,8.664403
8.168164,8.071540455372693,8.624982
8.027587,7.926956929615699,8.692586
8.121946,8.023930231691338,8.539422
8.176742,8.081171868330177,8.547849
8.173612,8.077201706240885,8.580215
8.18104,8.085162633525517,8.563671
8.146152,8.05027862805097,8.648299
8.104879,8.007668064053481,8.575882
8.264537,8.17161562126906,8.57094
8.133866,8.037719482711207,8.588074
8.1563,8.05975196386377,8.567645
8.167865,8.070999740855768,8.58488
8.162813,8.067080347992789,8.613945
8.122593,8.026392930226091,8.525936
8.116254,8.019748471910134,8.535749
8.166455,8.071296990887884,8.552761
8.129657,8.033386743899124,8.538992
8.142348,8.045622249909988,8.675936
8.285895,8.193451740623763,8.651739
8.1775465,8.082425966936473,8.581708
8.060599,7.963122943881899,8.6748295
8.221048,8.127144053384352,8.548586
8.12767,8.030082617149066,8.553368
8.138736,8.0428173088391,8.6216545
8.123766,8.02829749843416,8.612116
8.213603,8.119210654326405,8.62569
8.189352,8.094647191581316,8.647964
8.299539,8.207208012075473,8.564668
8.071936,7.9737441078371685,8.506699
8.13745,8.041605261542525,8.612211
8.200032,8.106324078010704,8.621382
8.177393,8.08308715838939,8.648809
8.149139,8.05416245246306,8.522647
8.1585245,8.06379376774809,8.608282
8.064926,7.967900419374928,8.653174
8.207248,8.113148782479888,8.580983
8.131461,8.035394600088088,8.5717325
8.12282,8.027366213655721,8.706611
8.1621065,8.067433646918897,8.600187
8.186895,8.092897349231254,8.661818
8.135088,8.039676512475125,8.654734
8.052173,7.954274384343686,8.647551
8.098198,8.001536486321129,8.618625
8.149902,8.054568829868611,8.578646
8.160074,8.065473844258424,8.583814
8.096394,8.000495856744237,8.607102
8.136247,8.04207971789098,8.67219
8.139457,8.044706763428016,8.699992
8.242055,8.149267622657742,8.570036
8.148555,8.05364788727214,8.709591
8.130802,8.03570960108967,8.589366
8.168875,8.073425608881127,8.63806
8.157878,8.063441151132185,8.584881
8.21412,8.120289441780187,8.577017
8.150023,8.054929325085443,8.599981
8.0834465,7.987372613007514,8.593626
