ABloss,Bobloss,Eveloss
5.9488034,3.947265625,3.953125
4.1387863,4.029296875,4.046875
4.20895,4.103515625,4.046875
4.0263147,3.91015625,4.046875
4.1406317,4.03125,4.091797
4.0871353,3.974609375,3.921875
4.11849,4.0078125,4.0625
4.083448,3.970703125,3.9960938
3.9710732,3.8515625,4.064453
4.1350956,4.025390625,3.984375
4.1166453,4.005859375,4.0
4.11849,4.0078125,4.015625
3.9637113,3.84375,3.9453125
4.2939878,4.193359375,3.9316406
4.0779166,3.96484375,3.9179688
4.210798,4.10546875,3.9726562
4.1350956,4.025390625,4.09375
4.124025,4.013671875,4.091797
4.11849,4.0078125,3.9765625
4.131405,4.021484375,3.9667969
4.1923256,4.0859375,4.03125
4.096356,3.984375,4.0625
4.0926676,3.98046875,3.9296875
3.9894817,3.87109375,3.9453125
4.1664734,4.05859375,4.0722656
4.0760727,3.962890625,3.8925781
4.111111,4.0,4.046875
4.041054,3.92578125,3.9570312
4.12956,4.01953125,3.8769531
4.1092663,3.998046875,3.9765625
4.1683197,4.060546875,3.9648438
4.0078955,3.890625,3.9941406
4.20895,4.103515625,4.080078
4.1572433,4.048828125,3.9882812
4.1350956,4.025390625,4.060547
4.096356,3.984375,4.064453
4.0982,3.986328125,4.1777344
4.1664734,4.05859375,3.9609375
4.0355263,3.919921875,4.1328125
4.12956,4.01953125,3.953125
4.083448,3.970703125,3.9746094
4.144323,4.03515625,3.9082031
4.131405,4.021484375,3.9863281
4.0189466,3.90234375,3.9960938
4.096356,3.984375,4.060547
4.0760727,3.962890625,3.8945312
4.1258698,4.015625,3.9277344
4.188632,4.08203125,4.001953
4.1387863,4.029296875,3.9609375
4.0484247,3.93359375,4.048828
4.1738586,4.06640625,4.0273438
4.063169,3.94921875,3.8964844
4.0982,3.986328125,4.125
4.1387863,4.029296875,4.015625
4.170166,4.0625,3.9511719
4.0871353,3.974609375,4.0371094
4.1277146,4.017578125,4.0117188
4.1627812,4.0546875,4.033203
4.160935,4.052734375,3.9257812
4.245909,4.142578125,4.013672
4.0779166,3.96484375,3.9980469
4.0465817,3.931640625,4.0566406
4.1350956,4.025390625,3.9179688
4.1775517,4.0703125,4.0722656
4.1092663,3.998046875,3.9726562
4.103733,3.9921875,4.0253906
4.1166453,4.005859375,4.0214844
4.0871353,3.974609375,3.9414062
4.1517057,4.04296875,3.9296875
4.144323,4.03515625,3.8847656
4.1203346,4.009765625,4.0117188
4.0908237,3.978515625,3.984375
4.1129556,4.001953125,3.8710938
4.1203346,4.009765625,4.0234375
4.063169,3.94921875,3.9746094
4.002371,3.884765625,4.0722656
4.0945115,3.982421875,4.0664062
4.1553974,4.046875,3.9140625
4.081604,3.96875,3.9589844
4.1277146,4.017578125,4.017578
4.148014,4.0390625,4.013672
4.170166,4.0625,3.9179688
4.1941724,4.087890625,4.1171875
4.053953,3.939453125,3.9609375
4.142477,4.033203125,4.0195312
4.1258698,4.015625,4.0566406
4.1517057,4.04296875,3.8808594
4.210798,4.10546875,3.9882812
4.0447392,3.9296875,4.0273438
4.0078955,3.890625,4.0
4.11849,4.0078125,4.1679688
4.068699,3.955078125,3.921875
4.1941724,4.087890625,3.9375
4.111111,4.0,4.0507812
