ABloss,Bobloss,Eveloss
9.169082,9.078917666532409,9.635741
9.176478,9.088972890982404,9.621517
9.124711,9.04014227356917,9.621093
9.136561,9.054447551219104,9.746488
9.087766,9.006749675027095,9.667266
9.123509,9.04628809002073,9.691963
9.171583,9.097819341618258,9.64214
9.072999,8.999509684896717,9.690454
9.130462,9.060200120632848,9.716812
9.211235,9.145167395860579,9.699035
9.08407,9.0168100616429,9.788129
9.159014,9.094823178951629,9.664038
9.059013,8.99505993979983,9.677887
9.032661,8.9679021583482,9.71236
9.15243,9.09056546232508,9.684126
9.001686,8.937536856741644,9.766381
9.140216,9.078383820247836,9.746584
9.021191,8.957653071498498,9.724742
9.101918,9.040124142038016,9.673132
9.075444,9.013376823432434,9.8193655
9.055166,8.993457636951158,9.7360325
9.042567,8.979514428724844,9.738909
8.99433,8.931438381318003,9.829701
9.138723,9.078383835226608,9.864063
9.085055,9.02372813236434,9.858405
9.071074,9.009414528069708,9.779827
9.005753,8.942044821955884,9.794406
9.025246,8.963639745954424,9.749607
9.097845,9.036933024181053,9.758896
9.070892,9.010170976786563,9.798056
9.057175,8.99652319288968,9.743889
9.086863,9.026080308676077,9.771883
9.113059,9.053726387714658,9.837949
9.108209,9.048619705446376,9.89874
9.025581,8.963449430147497,9.845509
9.009245,8.947406273839684,9.855751
9.029784,8.967554320037985,9.849564
9.181099,9.123464667975592,9.8201065
9.065847,9.005938625661656,9.856189
9.112972,9.054160428194638,9.855589
9.070627,9.010890855182272,9.78433
9.073475,9.01435274091394,9.95368
9.077131,9.01798811314317,9.8328495
9.083028,9.023920983813394,9.751992
9.089066,9.03074018478704,9.916903
9.034053,8.973887328601753,9.882463
9.098715,9.039446689654142,9.899818
8.960849,8.899305051464276,9.902065
9.006943,8.946065992388563,9.912626
9.027945,8.968114549371723,9.814263
9.063009,9.004511431208813,9.739951
9.046186,8.987356561003253,9.80376
9.03659,8.977409433922732,9.89574
9.118262,9.059750447554203,9.763367
9.064336,9.005731072354441,9.914614
9.085498,9.027445405760469,9.942369
9.068232,9.009118089064334,9.872203
9.028541,8.96785292273853,9.905995
9.112753,9.055781446086863,9.902823
9.077798,9.019419063503543,9.787996
8.997314,8.93719144751473,9.882984
9.101038,9.042895719137354,9.833107
9.074137,9.016700358401673,9.924467
9.061932,9.003780421800911,9.81241
9.090732,9.033071520427864,9.883814
9.167115,9.111433279661773,9.928595
9.106848,9.04978965956252,9.894839
9.089294,9.030793166331325,9.859551
9.054798,8.995797935524024,9.832143
9.079308,9.022419816348702,9.9181595
9.084557,9.026785733527504,9.88932
9.117083,9.059835705324076,9.872537
9.148028,9.092407034787659,9.850662
8.985373,8.925999982321326,9.874252
9.053655,8.995597504234562,9.85984
8.9549885,8.894065892673098,9.936801
9.142459,9.086090954913136,9.860628
9.064877,9.007397695910186,9.842213
8.993668,8.93473999015987,9.931494
9.0003805,8.941519802319817,9.822443
9.036895,8.978717962473942,9.968454
9.008145,8.948568875164103,9.878739
9.11177,9.056171376490965,9.8648405
9.088725,9.032178277460238,9.825459
9.04598,8.987758246832527,9.890664
9.036644,8.97833075762416,9.979582
9.067731,9.010883969487622,9.91787
9.031139,8.97287965049812,9.810447
9.056058,8.999689111524882,9.830893
9.006243,8.947876339002201,9.8912115
9.014586,8.956098915892653,9.879269
9.036035,8.978593472468978,9.848734
9.141273,9.086666404347245,9.865944
9.039668,8.982898211145464,9.805514
9.124216,9.068890961042294,9.935794
9.047276,8.989570018369704,9.788331
9.092594,9.035796590809088,9.825897
9.081497,9.024846764514223,9.867849
9.110937,9.054678094612123,9.901235
9.129453,9.074081304909972,9.874686
9.082393,9.02586296138664,9.919953
9.084853,9.027977108722553,9.938969
9.072882,9.015381258407917,9.931408
9.100416,9.043705070585323,9.926093
9.042742,8.986039857574118,9.886839
9.055829,8.999646734640312,9.828327
9.152047,9.096606957454545,9.928909
9.163718,9.108817193618354,9.902628
9.025904,8.968220949211778,9.965211
9.04734,8.99022485362366,9.838005
9.085352,9.028416914477322,9.843012
9.145414,9.090325307644283,9.871838
8.927506,8.86759808085238,9.906778
9.013451,8.956195593617545,9.895838
9.114082,9.058410528969642,9.897857
9.04168,8.984715723975873,9.906281
9.196524,9.143241741810925,9.8498535
9.035641,8.978495639748871,9.875883
9.027404,8.970171545244131,9.958338
9.057257,9.000120796302022,9.927306
9.135072,9.079935692832805,9.921577
9.074133,9.018403857635956,9.895742
9.02831,8.97070506901946,9.928082
