ABloss,Bobloss,Eveloss
9.306918,9.195431961944061,9.774677
9.251991,9.156909197469108,9.784678
9.260641,9.181161571926038,9.779843
9.106535,9.033006031698148,9.763588
9.203533,9.13723405726653,9.728206
9.18711,9.127875186669241,9.763546
9.159339,9.103945771165725,9.7396965
9.141208,9.088929351252903,9.790651
9.068012,9.021373489339437,9.828956
8.97815,8.928640762377265,9.75899
9.0560255,9.011094690034431,9.763731
9.098753,9.055761224091318,9.829195
9.102209,9.058642581205016,9.770863
9.062612,9.016572488438605,9.802538
9.093206,9.04863658361137,9.8616495
9.006836,8.958503215906344,9.739094
9.095442,9.04867615411058,9.773244
9.058309,9.011649246959546,9.787821
8.991763,8.93817403100963,9.773611
9.051822,9.000240044635056,9.860067
9.095629,9.045302143786103,9.811459
9.066854,9.01411519449071,9.876026
9.032425,8.976358612566921,9.77416
9.0354595,8.979269072879106,9.937163
9.041498,8.983669974076163,9.814622
8.984917,8.924531669655282,9.788979
9.056183,8.997617192034209,9.825848
9.104805,9.044710070992421,9.716708
9.112289,9.05181473689819,9.77817
9.127311,9.068441513194037,9.841864
9.000603,8.936304659383106,9.841777
9.0467825,8.983407874458603,9.80698
9.091345,9.02831937562275,9.861279
9.00075,8.933333914993064,9.968277
9.015037,8.948470000676545,9.848072
9.060076,8.993720147126753,9.864597
9.055651,8.991016646082114,9.821245
9.050534,8.984322662997458,9.903938
8.999361,8.928220233281275,9.908428
9.141079,9.073240636348991,9.82921
9.034887,8.966119512316904,9.777676
9.053459,8.984457175979125,9.896191
9.02636,8.954920009543587,9.910765
9.078688,9.010995234562351,9.786045
8.991211,8.919026847130485,9.936671
9.005572,8.934000723429822,9.800265
9.067192,8.99561821426531,9.904568
9.088672,9.017838353756815,9.862077
8.953498,8.879137655454022,9.859409
9.021605,8.94874714457962,9.931781
8.983657,8.906733316934801,9.830735
9.087092,9.01149261280495,9.901004
8.999537,8.925653714520324,9.886728
9.010315,8.935518413050367,9.864299
9.010927,8.933788201705152,9.810953
8.995986,8.919380473970834,9.940052
9.062385,8.987552554080528,9.79324
9.040796,8.966227734394904,9.827376
9.041551,8.964806292638448,9.877285
9.031229,8.956896877049335,9.8998375
9.046062,8.969052295433357,9.837818
9.020291,8.944153556034767,9.844133
8.999498,8.924884739132333,9.825858
9.037916,8.962579117156565,9.861096
9.05166,8.975998950556718,9.931437
9.015745,8.939471307975639,9.887136
9.020411,8.944913022885366,9.899904
8.99219,8.916861837530243,9.808982
9.005649,8.92775821599311,9.930706
8.984526,8.907094109504083,9.880292
8.989725,8.912417358685552,9.867678
9.021956,8.946302828877897,9.951747
8.98307,8.904777993115463,9.91036
9.033389,8.95611028033974,9.877804
8.998457,8.919853714394515,9.95012
9.048995,8.972146726679057,9.819295
8.979373,8.899613443629018,9.848499
8.978793,8.900368104622299,9.89364
9.057865,8.979876677139796,9.889762
8.966621,8.88676491995076,9.804205
9.090706,9.012672516351033,9.940913
8.974862,8.892909091864048,9.905324
9.101933,9.023673431515428,9.8940525
9.019043,8.938721085266609,9.909578
8.977854,8.89762725404996,9.833622
9.062938,8.984992299827613,9.837537
9.091029,9.011286372185818,9.926136
8.909722,8.827494488663174,9.89583
9.048032,8.968693035488416,9.852137
9.080393,9.003184695495293,9.8129425
8.904094,8.822280922804826,9.862717
9.002552,8.923267864089992,9.883881
9.010572,8.932474822038785,9.842958
9.023666,8.94352018696788,9.897398
8.915739,8.832309287473825,9.955593
9.01126,8.932402561950896,9.90344
9.009683,8.92950243236763,9.827934
9.024229,8.944182836483899,9.848996
9.03628,8.95663893266049,9.975836
9.028659,8.950495680394981,9.824756
9.01019,8.92979889592555,9.846832
8.972378,8.89185816009662,9.823275
8.930188,8.84593389778664,9.916899
8.975752,8.896220566970962,9.886996
9.048615,8.971022644379575,9.963959
8.960217,8.88052781787701,9.808177
8.983299,8.902300222011815,9.872748
8.948844,8.867584758371647,9.98623
8.952876,8.87101043840604,9.913874
9.029215,8.949665633396112,9.8630085
9.064097,8.983220278085875,9.834441
8.964615,8.88100202953709,9.8747635
9.046289,8.96499775157177,9.84967
8.9275675,8.844500316473255,9.868995
8.994925,8.913670572019846,9.965456
8.996117,8.913743541975107,9.881595
8.981595,8.897679286376972,9.930485
9.020251,8.938835681150001,9.935369
8.979017,8.897061470530128,9.905102
9.024515,8.942961668628932,9.831295
8.961186,8.878219354432076,9.954006
8.985991,8.906191735229056,9.860468
8.896296,8.812843284469897,9.827892
8.978909,8.898985296554331,9.92459
9.029,8.9514274366333,9.955767
9.003098,8.923449072920318,9.944817
8.955647,8.87598626757972,9.854485
9.061436,8.980910088999995,9.932559
9.060356,8.981515787275773,9.880077
9.01167,8.932056261858502,9.841976
9.002078,8.92292399391798,9.900889
8.901612,8.820261432756004,9.917327
9.031892,8.952032457438431,9.892994
8.976843,8.896935475857129,9.928954
8.896241,8.813207261430632,9.9495325
8.985652,8.903135031461716,9.987343
8.954603,8.873360107652843,9.857228
9.027598,8.945956240840522,9.954777
8.990545,8.907559509954549,9.9642
8.948432,8.864052851684391,9.979992
9.049395,8.96534120520976,9.891031
8.962417,8.879299944732336,9.89441
8.959287,8.873995617564235,9.926882
9.031775,8.948480720166117,9.861589
8.995789,8.912773453530722,9.875358
8.956461,8.873126875875252,9.910888
8.982798,8.90014842315577,9.845093
8.946937,8.862329294073529,9.904739
9.057766,8.974653910080503,9.855386
8.981385,8.898776123799118,9.825873
8.95949,8.87777004457478,9.881058
8.954705,8.871229020945197,9.872292
8.951588,8.868353788740933,9.830133
8.881694,8.795793187072768,9.973345
8.952082,8.868880419193633,9.955422
8.994208,8.913269430531987,9.828401
8.956837,8.872713558974544,9.858123
8.919913,8.83483842048528,9.942285
8.925363,8.841100072454928,9.897832
