ABloss,Bobloss,Eveloss
9.300957,9.19237063728672,9.763772
9.251105,9.155708473974041,9.778209
9.264829,9.183869877863408,9.766464
9.108728,9.033965531437257,9.758345
9.206715,9.140276094532705,9.72531
9.191577,9.12870770313644,9.759981
9.16494,9.106394525816931,9.730312
9.152884,9.095741462228554,9.790685
9.068218,9.018672690493986,9.826909
8.982829,8.929200416563877,9.762571
9.061625,9.013616846907619,9.752092
9.102347,9.057483007466155,9.819345
9.11473,9.070009177983074,9.752244
9.066103,9.019254367698782,9.78647
9.093659,9.049136908126197,9.8487215
9.005579,8.954394351657745,9.7354765
9.0966015,9.047769931411104,9.759483
9.063356,9.014301451122655,9.778578
8.994199,8.941606307867914,9.771881
9.063132,9.010676598874852,9.851973
9.102919,9.050947384908795,9.803806
9.060229,9.008317698358692,9.869356
9.031658,8.97551304188424,9.756868
9.027607,8.970679078650262,9.916247
9.0397005,8.980716917430982,9.794796
8.993024,8.93256836913393,9.76899
9.060727,9.001638578982758,9.811102
9.111247,9.050675713922828,9.7055235
9.113536,9.052932339720428,9.764541
9.128621,9.067529537016526,9.8149805
9.008418,8.943486161895894,9.837978
9.051295,8.988019838197422,9.791344
9.097243,9.034131664184056,9.841654
9.000522,8.932134354520322,9.959833
9.01869,8.949299119113546,9.83361
9.058073,8.990629475098103,9.843797
9.060719,8.994674526188257,9.806482
9.052306,8.985218347316343,9.890702
9.001649,8.928998692659661,9.887655
9.136468,9.069219632074237,9.814445
9.035017,8.963539627181099,9.754808
9.058435,8.98854936549573,9.878019
9.029904,8.958388290467806,9.887178
9.081732,9.012393759796396,9.767637
8.992302,8.918602742520827,9.91584
9.011617,8.94027549693627,9.78476
9.070528,8.996520829021133,9.890793
9.094008,9.020294674006957,9.84744
8.958644,8.883571772636579,9.83941
9.018079,8.943706518005847,9.918943
8.980514,8.902523043033268,9.800829
9.088082,9.011280047773782,9.883612
9.002061,8.925262514468548,9.87185
9.017346,8.940276970621198,9.84297
9.019247,8.941029391051934,9.792851
9.000916,8.923460706569522,9.918694
9.063435,8.985053532025113,9.773884
9.0442705,8.964746732164972,9.811012
9.043511,8.962777445824551,9.861653
9.035596,8.958304834718417,9.879074
9.048236,8.96954371407628,9.825565
9.024354,8.94560766489511,9.826973
8.995864,8.91927281920133,9.812492
9.038537,8.960428267118655,9.848928
9.051898,8.973469921919916,9.913344
9.015573,8.937386963815827,9.862596
9.021618,8.940857085000191,9.880634
8.987217,8.909385404715847,9.7843485
9.001342,8.921584092679302,9.909539
8.986296,8.907016242155805,9.85976
8.992591,8.913578506525873,9.848299
9.027294,8.949373772035221,9.936657
8.978854,8.89506340016877,9.894754
9.031788,8.949398300976359,9.855028
9.000845,8.920796179678291,9.934202
9.057174,8.978858011741458,9.793655
8.97949,8.897321529121005,9.83127
8.982499,8.902929310853194,9.863493
9.069288,8.989262599498034,9.86449
8.963722,8.881308694602922,9.782182
9.095635,9.015410851254792,9.923379
8.978579,8.892527660654325,9.887795
9.104074,9.024116382767847,9.872754
9.019022,8.93590882683306,9.885942
8.987128,8.904765111627057,9.820109
9.07014,8.989332259133725,9.819143
9.090097,9.007999830180779,9.90215
8.912445,8.829155205017221,9.87598
9.053192,8.96916548255831,9.835514
9.084704,9.00289631688169,9.791663
8.906914,8.822510367924613,9.838004
9.003266,8.920103625061788,9.859611
9.01683,8.934605014543713,9.825385
9.031214,8.946497029957495,9.874838
8.916135,8.83044450789956,9.936823
9.007487,8.925179459786575,9.882726
