ABloss,Bobloss,Eveloss
9.07648,9.006494026281871,9.010083
9.087618,9.022841770512361,9.004765
9.096974,9.030806548990466,9.004434
9.117673,9.049811768558962,8.986265
9.066701,8.997992607784301,9.020627
9.15703,9.092114764207507,8.985514
9.120912,9.054555986328827,8.991562
9.092199,9.02158019967222,9.021193
9.082083,9.014193600858562,8.992671
9.064493,8.999406602951543,9.002867
9.086547,9.023379712423775,8.97504
9.081967,9.017672595238158,9.012508
9.093196,9.028740014124198,9.007582
9.11663,9.053053852752782,8.999481
9.044262,8.986049047205597,9.015308
9.132866,9.069574606934719,9.020894
9.108918,9.048450012807734,8.958078
9.08554,9.023612966062501,8.984506
9.086927,9.026584272331093,9.058538
9.070477,9.012715956099177,8.965098
9.075618,9.017098007684885,8.983395
9.123824,9.061280891648494,9.091096
9.132134,9.070794920786284,8.982075
9.070159,9.006988377737192,8.976508
9.083674,9.018981136323418,8.968951
9.0761595,9.011957850656472,9.016348
9.114588,9.046068528473066,9.037382
9.083652,9.013444899154518,8.989661
9.085611,9.013258373306599,8.994776
9.095059,9.025310754776001,9.010477
9.04972,8.986258731301252,9.048106
9.0908165,9.023423621198162,9.045322
9.100184,9.035708781098947,8.986592
9.084755,9.018073690725336,8.991331
9.126606,9.059092521783896,9.01146
9.104739,9.041199596753964,9.063076
9.119977,9.050036020402333,8.990797
9.025271,8.958141582474733,9.025915
9.0947075,9.028231053593725,9.026922
9.078181,9.005528448848054,9.011783
9.104679,9.031586536400331,8.998393
9.1002,9.028464724891819,8.94196
9.040113,8.969932920648716,9.001793
9.075199,9.00557006181528,9.040836
9.041687,8.970706320988636,9.005257
9.072615,9.002311086204523,9.011637
9.096981,9.023717689696545,9.030406
9.079865,9.008318784219833,8.997431
9.122473,9.043418720248155,8.98667
9.103432,9.030956856440753,9.043564
9.064724,8.98514827459197,9.068186
9.065011,8.984951276681386,9.011236
9.0550585,8.977314397265824,9.003482
9.098497,9.014121913855584,9.05862
9.081854,9.004134831232175,8.986214
9.055869,8.974633023511462,8.9535475
9.047958,8.964742017871078,9.015196
9.13847,9.055460932936208,8.98779
9.040411,8.958276841459641,9.013327
9.085918,9.006730516363556,9.045848
9.114326,9.03445704935196,9.010945
9.066983,8.987181979580782,9.013828
9.063997,8.983082869963255,8.993103
9.0875435,9.00653990197073,9.032154
9.05916,8.979454970414128,8.979828
9.065408,8.986372661738036,8.96474
9.068958,8.984775012708269,8.990471
9.095139,9.015390574699268,9.037659
9.122305,9.043267952181244,9.001913
9.087092,9.009098920524897,8.978337
9.046255,8.966653571270095,9.0027275
9.078708,8.999835956511864,9.008863
9.06333,8.985046356586583,8.994719
9.040996,8.960153323908646,8.987539
9.0938835,9.011637101745388,8.97497
9.108041,9.028115304245148,8.958862
9.084591,9.004688073919777,9.017987
9.065485,8.987701319546128,9.035522
9.115986,9.037391405707845,8.935734
9.087754,9.007501874895146,9.024267
9.101005,9.02248474654819,9.046683
9.133237,9.051728999280991,8.985914
9.065778,8.984450410469435,9.026436
9.062605,8.982966851637078,9.023757
9.112793,9.033010654035024,8.962016
9.09602,9.015350162323255,9.016104
9.05716,8.973828936209125,8.952463
9.067648,8.986714279046282,8.992756
9.076154,8.993763590736004,8.998774
9.091707,9.009688632776186,9.023776
9.081861,8.997441802852943,9.00775
9.115008,9.029314562911168,9.046164
9.040193,8.955992729888141,8.960705
9.069989,8.985085419359772,9.016983
9.043273,8.957596413247908,9.018723
9.039659,8.956732694622284,9.043171
9.079441,8.992621149421513,9.0323925
9.086985,8.99811496977539,9.033639
9.091884,9.009662038743652,8.981547
9.059524,8.974925188619334,9.013667
9.066701,8.986376118283562,9.081065
9.090899,9.007330568274483,9.002176
9.067578,8.983391153529132,8.950151
9.1094675,9.026336793884791,9.015599
9.102905,9.022975390485954,9.041473
9.070137,8.990147339432346,9.033331
9.075559,8.99488009508544,9.004548
9.094023,9.013521730375942,8.968446
9.119432,9.042894811330672,8.998267
9.055223,8.973433275881689,9.040543
9.072646,8.993075051577762,9.019079
9.043663,8.971839303926874,8.979076
9.103537,9.025814173277467,9.009905
9.062777,8.985844827198889,9.030636
9.037661,8.960849454568233,9.001312
9.07252,8.999170460990474,9.009494
9.039479,8.970119960237449,9.040611
9.042896,8.973112187057268,9.023938
9.113185,9.041391937508404,9.001148
9.079249,9.006871427642182,8.989748
9.029761,8.958779277765037,9.01293
9.097259,9.023786030185875,8.974458
9.083228,9.004967234563082,9.029445
9.101978,9.028832840694426,8.9721365
9.073416,8.998167072927268,8.926131
9.0702,8.99806113356802,9.008732
9.078505,9.000699099832369,9.059055
9.0729885,9.000950085872319,9.009486
9.065002,8.994376239308622,8.98526
9.073892,9.004855718192024,8.984747
9.059343,8.984315669202868,9.003979
9.075476,9.00915437511867,8.99745
9.095164,9.026091078684354,9.042529
9.079688,9.010346311804216,9.039375
9.049818,8.976740616955794,8.959665
9.065735,8.99156894387367,9.0253315
9.100021,9.027891543790854,8.9827
9.087573,9.014701203753551,9.00531
9.106079,9.033713762434976,9.0627985
9.125432,9.052731410192791,9.021803
9.060081,8.99025581726649,9.017991
9.02817,8.952844331273809,8.984734
9.083156,9.013474609625215,9.045558
