ABloss,Bobloss,Eveloss
9.497979,9.33383457097807,9.413343
9.348403,9.220255525317043,9.423862
9.266207,9.160397904284764,9.375008
9.258605,9.168386909761466,9.436123
9.10262,9.034498494234867,9.3677845
9.156147,9.102693518332671,9.402715
9.05146,8.99192360349116,9.426346
9.139025,9.083395382069284,9.38034
9.157537,9.103547042002901,9.470549
9.120317,9.061390358692734,9.525366
9.156442,9.100088028790196,9.474208
9.08568,9.027284722222248,9.460744
9.031682,8.972696931828978,9.55983
9.07641,9.020779443148058,9.4746475
9.077972,9.022383042494766,9.604395
9.052228,8.994184302689973,9.426571
9.049182,8.991093610267853,9.467891
9.123367,9.06704484205693,9.502122
9.1414795,9.087780875590397,9.480864
9.038021,8.978452290786663,9.463762
9.128671,9.073385497322306,9.514074
9.022228,8.960600740421796,9.539902
9.0416155,8.980289957049536,9.445486
9.042644,8.98302860185504,9.502181
9.129711,9.068589195085224,9.462105
9.096778,9.035292414977448,9.57776
9.117312,9.057283680012915,9.5419655
9.059892,8.998056687501958,9.540398
9.106845,9.046399653190747,9.484977
9.0907545,9.02898047666531,9.511362
9.063611,9.002951841655886,9.648637
9.080936,9.021286106930347,9.512009
9.148102,9.089925724780187,9.564318
9.106094,9.045698904374149,9.60281
9.000301,8.936005776486127,9.544978
9.068796,9.005346280813683,9.5164795
9.058163,8.994472524500452,9.535749
9.11687,9.055076756892959,9.571479
9.052406,8.99109765139292,9.622218
9.034454,8.970667960471474,9.554804
9.07497,9.01317497564014,9.592466
9.054114,8.990211047203047,9.526618
9.135364,9.076025005953852,9.634881
9.095224,9.03468635425088,9.582075
9.017857,8.954857764969347,9.591663
9.023513,8.958893670584075,9.579784
9.088533,9.027681313367793,9.636613
9.031195,8.969077662273776,9.548513
9.080686,9.020613714499632,9.672676
9.087232,9.028360205178615,9.512964
9.042366,8.980448811285896,9.572545
9.132319,9.072312511067139,9.620609
9.075329,9.016026399069233,9.632608
9.137734,9.079542699124431,9.524032
9.088545,9.02858220093185,9.601995
9.115854,9.056700252054725,9.621723
9.059411,8.998337322176667,9.556908
9.080767,9.021036154881585,9.55062
9.053955,8.993374421843328,9.60998
9.063987,9.001385977579048,9.653293
9.0937805,9.035720988671528,9.573428
9.076085,9.017743445874657,9.611799
9.094849,9.037462809123099,9.555047
9.090942,9.033505273313494,9.596449
9.036152,8.97655540300184,9.620581
9.061457,9.002250597404782,9.581324
9.051821,8.992149663245073,9.608957
9.058998,9.001079442183254,9.514204
9.072667,9.014954214653699,9.509126
9.094288,9.033724734385032,9.688882
9.160874,9.106126732571283,9.581081
9.037542,8.979335626994725,9.711621
9.014168,8.955949231720297,9.60192
9.050003,8.992743977898499,9.655531
9.066836,9.007516664918512,9.610372
9.061719,9.005005177023122,9.623905
9.046033,8.988339902309235,9.612593
9.056298,8.998161557479762,9.639788
9.168387,9.114493987406604,9.628283
9.049109,8.99308013758855,9.632946
9.093524,9.039479890634539,9.595568
9.04615,8.990269692556467,9.568976
9.077613,9.020799106743652,9.602751
9.046823,8.990607058338355,9.5758095
9.113412,9.057145900762407,9.65251
9.036576,8.97887032511062,9.600075
9.070843,9.016365711402614,9.627781
9.045223,8.988039960124297,9.673015
9.106816,9.051301079656696,9.656631
9.099076,9.041089897073107,9.618023
9.088404,9.031760644400492,9.657569
