ABloss,Bobloss,Eveloss
10.03475,9.874567131424556,9.298604
9.804298,9.691647329425905,9.275202
9.625814,9.560178059182363,9.254087
9.535609,9.506036907812813,9.306637
9.328763,9.320058686746052,9.247099
9.311464,9.317099211504683,9.261126
9.156925,9.164789993403247,9.28513
9.194479,9.215388064389117,9.226831
9.151814,9.177725986664882,9.315965
9.106377,9.129371259332402,9.352138
9.139026,9.160081525507849,9.302
9.07519,9.093644582404522,9.269773
9.044143,9.054067149321781,9.379897
9.075517,9.082883440743899,9.288166
9.078631,9.081037074298365,9.402044
9.064464,9.060657662834274,9.204106
9.05913,9.053394835646031,9.259263
9.110322,9.10711283746059,9.280187
9.105441,9.101238967268728,9.259977
9.048122,9.037091431353474,9.236397
9.105843,9.095590824319515,9.275559
9.0325165,9.017319333797786,9.306963
9.042968,9.02953328291187,9.197769
9.058706,9.045523721928475,9.244435
9.094067,9.082499201758765,9.218334
9.07671,9.065263910975773,9.333782
9.091563,9.080218393413816,9.296171
9.079292,9.064118392969249,9.305476
9.092669,9.07965548406355,9.236064
9.07547,9.061381005652947,9.25628
9.056914,9.041510777373333,9.405478
9.076267,9.064754646795336,9.247846
9.10935,9.100002791179577,9.320136
9.089797,9.078198279603384,9.355926
9.016514,9.003366881108377,9.289093
9.064576,9.054371282429202,9.247574
9.056187,9.041810637427261,9.270475
9.095298,9.085080505174119,9.311429
9.064401,9.05099257454276,9.349983
9.057409,9.04411066303146,9.284451
9.063192,9.050870934064733,9.317942
9.059321,9.046691362949787,9.246092
9.095466,9.092040903109591,9.37207
9.077732,9.072892000316642,9.308916
9.035054,9.025173698959406,9.302472
9.039702,9.033940564317163,9.310846
9.072446,9.065931356075453,9.343293
9.048689,9.044908544921782,9.251433
9.081896,9.086978862760589,9.390476
9.084516,9.086099763138918,9.216988
9.039787,9.042983649676898,9.280918
9.118466,9.12963481384213,9.34115
9.05646,9.068308543704916,9.358446
9.098404,9.114940567087615,9.244188
9.089008,9.10341619758401,9.299834
9.09432,9.110213687235955,9.3369255
9.057808,9.075949074118398,9.241587
9.065925,9.085485792544205,9.263689
9.04473,9.060118610359496,9.310034
9.048914,9.068914663599571,9.3717
9.082605,9.105724725290202,9.30661
9.060455,9.092526392894797,9.333393
9.068652,9.094493920943933,9.275616
9.08315,9.1131937285827,9.312526
9.03056,9.059434563590912,9.341742
9.050207,9.085237413819414,9.299241
9.068433,9.101244295452489,9.322641
9.03536,9.073392740712734,9.218389
9.057776,9.100152978120605,9.216043
9.081637,9.123613589443266,9.401558
9.119927,9.170690331957303,9.274104
9.031886,9.07454802916618,9.402971
9.009624,9.052028938138392,9.30077
9.045967,9.095628324575955,9.342898
9.03837,9.089627147972351,9.304324
9.039754,9.095142732228851,9.3015995
9.049052,9.100253188837087,9.296429
9.04869,9.10542750507011,9.324818
9.133332,9.191544394299854,9.312647
9.042761,9.094359355745837,9.329641
9.075859,9.13050448751892,9.288684
9.0424185,9.099944027897436,9.258656
9.051013,9.11055336962454,9.271695
9.037865,9.092782665422419,9.255752
9.073284,9.129825464537134,9.341156
9.04518,9.1037542661943,9.300128
9.031142,9.090647496748716,9.312722
9.025918,9.090642473485786,9.3653145
9.068683,9.132240432867547,9.333566
9.065909,9.130089851794764,9.319754
9.054898,9.124163476022659,9.353524
9.050301,9.12056465249043,9.299888
9.049703,9.11996334628202,9.346682
9.012365,9.080408826237544,9.3869505
9.021889,9.089254532998893,9.360718
9.037825,9.117101121140877,9.344005
9.068797,9.148311382101383,9.271197
9.01237,9.079285977233667,9.340414
9.0387125,9.108578390645562,9.322737
9.02126,9.093455022608396,9.325464
9.059268,9.132451779179974,9.35951
9.054099,9.127475269837305,9.311777
9.022167,9.095446584629826,9.355135
9.015121,9.089946349646198,9.256239
9.0277815,9.102974366076523,9.266354
9.061934,9.15425984322792,9.3209915
9.0381,9.128504937310936,9.356526
9.036843,9.124607859004755,9.347578
9.065336,9.157913759467192,9.302209
9.039192,9.136494986305479,9.2957325
9.021006,9.112112877279287,9.292342
9.015257,9.105276554706506,9.400062
9.01834,9.10803258352098,9.381195
9.111855,9.21200169948861,9.324486
9.058961,9.160119162814226,9.376738
9.0436735,9.13936431647744,9.323968
9.05683,9.155845829372993,9.338088
9.006607,9.10297616868047,9.282528
9.017587,9.118796289665624,9.321308
8.999818,9.094133127655368,9.292327
9.065354,9.17013784951996,9.328561
9.026474,9.131347417860525,9.375552
9.076115,9.184342920954805,9.307709
9.053634,9.16305540324538,9.326355
8.995502,9.097812574764248,9.254508
9.023376,9.13225088120089,9.365892
9.019243,9.125291670003207,9.383621
9.016768,9.125196628010599,9.304089
8.997551,9.094472010736354,9.389133
9.042524,9.15689219775959,9.297844
9.022023,9.140184703894192,9.385248
9.049561,9.167036414553877,9.33416
9.022029,9.139750856062165,9.304544
8.996876,9.112856571708107,9.349199
9.02868,9.154601962043671,9.266698
8.961707,9.07731741075986,9.29576
8.971203,9.092131992860232,9.273138
9.013834,9.126904909557197,9.211462
9.02471,9.154749221284874,9.305792
9.022183,9.156120141997235,9.386856
9.008385,9.138765371957561,9.297435
8.968177,9.097486783430213,9.302504
9.036941,9.181127710879082,9.32374
9.005674,9.147395959269488,9.316468
9.046769,9.192551334388554,9.334465
8.965953,9.101263418386225,9.319914
8.959813,9.088528567663161,9.264914
9.008232,9.13698915502755,9.348458
9.00639,9.148964601947227,9.314699
8.998783,9.135990277834935,9.297186
9.023563,9.164799799676985,9.305428
9.055707,9.20964015435311,9.34077
9.003851,9.153355587361148,9.375103
8.975408,9.120977723563556,9.309079
8.989299,9.13501249186811,9.27649
8.984077,9.126641044422286,9.312624
9.047397,9.20671675473568,9.317859
8.990011,9.145849452615948,9.3478365
8.961429,9.113968319026753,9.329401
8.997688,9.162592852662783,9.243538
8.936293,9.078233644220745,9.3308115
8.949233,9.10410353486077,9.421455
8.984247,9.133314881153638,9.336901
8.988314,9.142829691874795,9.308042
9.012841,9.176534955651732,9.391653
9.006034,9.16886876244098,9.34834
8.997544,9.1520951174316,9.359779
8.965533,9.12343580374727,9.335445
8.937825,9.098514308774611,9.428478
8.976767,9.140388541069115,9.2782
8.986958,9.158268382278038,9.41298
9.027873,9.197898342914414,9.259821
8.953406,9.120056807936635,9.382051
8.986689,9.158549226500327,9.302929
9.007453,9.178705753904069,9.345242
9.022346,9.200438009545906,9.3211155
8.97658,9.149618990748422,9.29315
9.00508,9.173668480158085,9.342647
9.012667,9.197912658797577,9.419714
9.022717,9.212945506063988,9.333385
8.980804,9.158174797834363,9.371835
8.9155245,9.087759199930588,9.291564
8.973761,9.152130625181599,9.393023
9.004356,9.186116575496271,9.3156185
8.958156,9.128373436338734,9.342491
8.952811,9.12471827265108,9.308533
8.993311,9.182625484740129,9.335508
9.022566,9.217859898752067,9.366322
8.951646,9.12416634245892,9.333957
8.944489,9.124460029503098,9.412193
9.013107,9.2130124324176,9.357208
8.922521,9.10793028518674,9.338177
8.97209,9.160735751356697,9.362167
8.914719,9.095061736588832,9.417468
8.953414,9.151009661698481,9.306741
9.007257,9.207761909026885,9.3196945
8.920727,9.130991909885779,9.322649
8.903494,9.10554474926903,9.314707
8.946199,9.146321737527614,9.351589
8.922976,9.129342130647274,9.366716
8.927631,9.120533793262439,9.300213
8.982172,9.183975203312002,9.397858
8.977127,9.180512975435704,9.261465
8.908988,9.103386343515012,9.338166
8.972129,9.1846551738563,9.352295
8.942362,9.149806826055283,9.295383
8.949491,9.156430919800187,9.1788845
8.930288,9.128601761010941,9.364297
8.909301,9.106653146882309,9.321473
8.915363,9.109940000140341,9.390303
8.972494,9.18031416652957,9.362831
8.952726,9.163722364435671,9.335003
8.921589,9.13186597332242,9.296709
8.94846,9.166843796469038,9.276161
8.935961,9.154093001736328,9.322218
8.913425,9.13753067975631,9.46187
8.89045,9.102153248793911,9.343239
8.920122,9.14328687050147,9.374828
8.9198,9.149678402463906,9.290476
8.90719,9.126191078685224,9.299644
8.968517,9.193204465263989,9.3796625
8.850957,9.072519060457125,9.319437
8.922161,9.15194935692125,9.349306
8.934655,9.159796934720362,9.398314
8.912177,9.124927390483208,9.327061
8.927829,9.157900696038269,9.337612
8.923142,9.143049389444059,9.3308735
8.917514,9.158872572123073,9.422091
8.917336,9.128586623468436,9.290297
8.951754,9.187982485513203,9.317188
8.954483,9.18513576069381,9.336342
8.938065,9.171974737662822,9.296719
8.883951,9.115260402322747,9.3669615
8.89647,9.125104490754893,9.3781185
8.867353,9.09088767884532,9.351175
8.92535,9.156231859669788,9.284833
8.885315,9.119599689613096,9.314528
8.862846,9.081105705496157,9.346649
8.8532295,9.085458349814871,9.338778
8.900674,9.14016981900204,9.305709
8.883618,9.108981285709888,9.399286
8.882199,9.114130330272019,9.278662
8.8938055,9.125859618827235,9.35954
8.901702,9.138292325020302,9.288261
8.922304,9.166099777066847,9.285565
8.89659,9.129207257268718,9.283603
8.906123,9.149678208050318,9.300243
8.8981285,9.13088710658485,9.275867
8.858936,9.084851412771968,9.437399
8.86319,9.100270482013002,9.283313
8.858291,9.095815781969577,9.32913
8.889748,9.133856003871188,9.398014
8.8650255,9.102094491157914,9.328992
8.866467,9.101387959526619,9.310984
8.889506,9.133144230523612,9.32991
8.871428,9.102031929651275,9.275484
8.813795,9.054316065041348,9.315021
8.88561,9.130345799931092,9.378515
8.838923,9.087221230147406,9.273897
8.868303,9.108274400030496,9.31185
8.858521,9.106056106538745,9.353259
8.865266,9.116627628303831,9.345203
8.875896,9.125362900347682,9.336046
8.871406,9.118030265672132,9.2926035
8.883526,9.138159469352104,9.369247
8.88561,9.141589614417171,9.31328
8.876412,9.117293130548205,9.370828
8.868151,9.121656792907743,9.402364
8.840679,9.087920867692446,9.278069
8.837649,9.090831579756923,9.299968
8.870997,9.131755578040611,9.348942
8.8870325,9.14053239687928,9.378235
8.803331,9.046442550548818,9.387902
8.791634,9.045239855506225,9.357422
8.894833,9.167422680853633,9.378626
8.8524685,9.113960313377902,9.377774
8.7900095,9.031094765203306,9.306458
8.810358,9.070280126150465,9.293686
8.82452,9.091167313337792,9.343908
8.839114,9.110722271056147,9.29953
8.86666,9.13368384752539,9.342157
8.859193,9.13582479316392,9.286481
8.823464,9.102965158846928,9.353682
8.824099,9.101438211655477,9.345779
8.811182,9.088382576592267,9.341705
8.85565,9.131535146181704,9.207123
8.826453,9.112017295294208,9.331424
8.8220005,9.105346293799812,9.349242
8.813492,9.09438176912954,9.363091
8.842696,9.14739731643931,9.31096
8.8068695,9.108482270821696,9.343106
8.8258915,9.101147058507195,9.290585
8.845196,9.123764479736565,9.309161
8.808938,9.099896840547444,9.35994
8.790634,9.07876794799813,9.343639
8.796813,9.098343712306814,9.294677
8.833847,9.110214964282932,9.286923
8.796481,9.093801516486565,9.3936825
8.804618,9.102373637782875,9.313656
8.749378,9.046584207651904,9.315802
8.81119,9.117120596813038,9.303848
8.798183,9.099945371650392,9.341216
8.817546,9.120852470776299,9.310937
8.840701,9.169329067808576,9.296322
8.81869,9.135707146604545,9.351732
8.817011,9.125268215750111,9.391206
8.77332,9.089764440490399,9.346963
8.743302,9.056489746231819,9.35312
8.76523,9.085196009080391,9.400845
8.828544,9.159419261617586,9.352193
8.811327,9.140088552172529,9.278894
8.855385,9.176294189790497,9.3314
8.811763,9.144868169649271,9.39237
8.730724,9.04486147017451,9.2722
8.784515,9.112686916982057,9.312838
8.769672,9.09346400515642,9.274669
8.75527,9.070731790270656,9.297157
8.791422,9.117851549002808,9.350689
8.770685,9.093855998216895,9.306004
8.761926,9.082191679743119,9.361948
8.802627,9.130972471088171,9.327118
8.768694,9.096682255127234,9.271654
8.764291,9.103633260325296,9.298516
8.775666,9.107544429862173,9.292757
8.778228,9.11791077061207,9.368974
8.816767,9.182187361875549,9.335863
8.778041,9.117816206999123,9.3616295
8.782305,9.13014934604871,9.277974
8.731387,9.075774981145514,9.420202
8.803258,9.153798179992009,9.349614
