ABloss,Bobloss,Eveloss
8.603928,8.395202257437631,8.718952
8.48395,8.320729924365878,8.827286
8.42216,8.292148000502493,8.765662
8.419326,8.305653188377619,8.759342
8.446413,8.345887997827958,8.600512
8.281559,8.17802434565965,8.8463
8.34076,8.233569756615907,8.859608
8.252766,8.144909040420316,8.725333
8.333962,8.228483746701386,8.800556
8.284338,8.177535457944032,8.850593
8.306315,8.203742419485934,8.789446
8.302605,8.199502004950773,8.766672
8.252488,8.146209754340816,8.766867
8.344143,8.247386181086767,8.811533
8.375161,8.277451778179966,8.846986
8.295651,8.19718810718041,8.778433
8.265624,8.171984531974886,8.863766
8.209529,8.116502020973712,8.889444
8.225145,8.131281947949901,8.969566
8.26209,8.170192312041763,8.828791
8.166114,8.072696430434007,8.8839245
8.162806,8.068639658740722,8.918542
8.193193,8.100721050344873,9.00212
8.229645,8.136371133790817,8.894661
8.1237955,8.030205674353056,8.815203
8.263336,8.171468901680782,8.857619
8.1702175,8.07558243733365,8.928338
8.3300295,8.242004053143319,8.962366
8.239864,8.148618791718036,8.909819
8.200551,8.109853019588627,8.862652
8.127418,8.032306357461493,9.003342
8.241385,8.1508947245311,8.936514
8.181601,8.09274836932309,8.860967
8.144983,8.053665020968765,8.877349
8.160598,8.072466772573534,8.973479
8.229158,8.1402598877321,8.979067
8.174082,8.085816589242313,8.924664
8.224162,8.133594042097684,8.98695
8.236281,8.149203191802371,8.952551
8.130804,8.041463452333119,9.055194
8.209836,8.123903277213685,9.0344715
8.128578,8.037312859087251,8.984629
8.166171,8.079682986135595,8.98446
8.215861,8.127720195159782,8.988492
8.1982355,8.111643958895002,9.034393
8.196415,8.11091412632959,9.022358
8.256507,8.171452770126052,9.121777
8.140216,8.051533113524783,9.044098
8.172701,8.085828485840466,8.990155
8.22269,8.137547562364489,8.993687
8.149252,8.063008731114678,9.063244
8.195743,8.108219912217464,9.051163
8.159732,8.076020589331165,9.045506
8.134802,8.05082550586667,8.962326
8.144938,8.057395646465011,8.963506
8.159842,8.072685207938775,8.931648
8.117164,8.027704863401596,8.971134
8.174006,8.088588751794305,9.019873
8.17177,8.087926456413697,9.024836
8.157878,8.071524542814586,9.01827
8.188847,8.102634792332537,9.051567
8.142641,8.053608895977959,9.1261215
8.179795,8.09384969092207,8.987522
8.163197,8.07703417004086,8.983955
8.18208,8.09339698345866,9.004074
8.111193,8.023781264142599,8.964714
8.154816,8.069580710842274,8.944769
8.135359,8.04829822073225,9.094818
8.082145,7.99519849132048,9.008015
8.10632,8.019951604597736,9.045036
8.103708,8.017803527007345,9.101807
8.12793,8.03970500943251,9.201265
8.304389,8.220687142224051,9.029739
8.18192,8.096867954940535,9.113789
8.006674,7.917092694027815,9.004993
8.179354,8.09267998195719,9.076519
8.150532,8.065174144692719,8.992506
8.199101,8.115592629590537,9.114926
8.193387,8.108781349437777,9.034211
8.146593,8.061193304485641,9.067947
8.16336,8.079051090811845,9.100193
8.149474,8.065333546081092,9.004319
8.237235,8.15378573408816,9.083694
8.211093,8.128565442631952,8.995241
8.196062,8.113714834791608,8.991285
8.084744,7.997992880758829,9.061445
8.095453,8.007996211294085,9.046159
8.180425,8.094328725303058,8.982479
8.212887,8.129936513723806,8.862225
8.182489,8.097725227242336,9.070342
8.224352,8.139834285131656,9.044338
8.179765,8.095553497492801,9.053885
8.16544,8.080670964263845,9.086254
8.180218,8.097107462817803,9.045231
8.154563,8.070304750348441,9.070444
8.065208,7.9770174866425805,9.012839
8.22549,8.14047082385514,9.026287
8.150293,8.065369023766834,9.003174
8.148135,8.063219300238416,9.003233
8.248627,8.16779261128977,8.964695
8.232954,8.151222926564515,9.168922
8.196541,8.113239139900543,9.03088
8.142007,8.057357584300917,8.94072
8.204346,8.11832677712664,8.962535
8.28767,8.206602521706372,9.119949
8.133758,8.046840390539728,9.021966
8.086696,7.999858895665966,8.973685
8.1929035,8.108329753449652,9.096335
8.187077,8.103641739406157,9.02751
8.187646,8.10194818850141,9.136177
8.209602,8.126105831353925,9.063882
8.119005,8.033854329085443,9.020512
8.21124,8.13029857055517,9.017511
8.096317,8.01005582785001,9.044479
8.16104,8.075748068455141,9.023331
8.177037,8.092464907851536,9.087208
8.10089,8.013643016689457,8.961784
8.240434,8.157491588266566,9.146872
8.06903,7.982132516044658,9.125118
8.159563,8.073898059956264,9.058127
8.190563,8.107023365446366,9.06337
8.167963,8.082430992973968,9.08596
7.9888964,7.898954969539773,9.118048
8.197926,8.115791886055376,9.046772
8.233453,8.151185139082372,9.061666
8.08533,7.998626770218834,9.02108
8.132452,8.04641243792139,9.078207
8.137235,8.052311063802335,8.973911
8.256632,8.171588945377152,9.10296
8.1510515,8.067886482342146,9.129379
8.162637,8.078721336787567,9.016396
8.175927,8.092834576149471,9.042034
8.149008,8.062374439556152,9.0123005
8.12404,8.039168254530523,9.067602
8.09612,8.009337661438622,9.104261
8.16891,8.087821167660877,8.978268
8.005692,7.918091822066344,9.04413
8.251331,8.169890223711263,8.998018
8.146111,8.061999322555494,9.157595
8.2132845,8.130307555722538,8.967251
8.1759815,8.091626499895938,8.98678
8.036766,7.951143811573274,9.028061
8.0743885,7.986352437525056,9.137375
8.001708,7.911849614174571,9.06188
8.022096,7.932436179253273,9.109428
8.073206,7.987421051540878,9.084419
8.08442,7.998143540346064,9.022244
8.023626,7.936678262078203,9.071444
8.165466,8.080422554165125,9.110899
8.144051,8.060658862348646,9.077877
8.067882,7.983762161864433,8.98601
8.169547,8.085038558172528,9.123421
8.14128,8.055039568454958,9.142621
8.077599,7.9910111740464345,8.983389
8.173082,8.088851413398515,9.052562
8.146944,8.063581939262804,9.043926
8.100119,8.016081331821624,9.07498
8.137301,8.052134223922621,9.059338
8.169429,8.086035646439996,9.053422
8.176882,8.092570866690949,9.032677
8.229722,8.150111639173701,9.182871
8.1217575,8.036798725894187,9.059804
8.099961,8.015496964682825,9.107742
8.11185,8.0269185230718,9.117252
8.179661,8.094588044972625,9.006866
8.127943,8.042177113122307,9.058206
8.158736,8.075288098480087,9.156328
8.216726,8.133881911693607,9.0317745
8.108958,8.023705188708846,9.094902
8.132538,8.048283280804753,9.088384
8.113453,8.028400561132003,9.085373
8.065107,7.978809371066745,9.124145
8.09396,8.007235969533212,9.016552
8.0414915,7.956819478131365,9.07679
8.210186,8.128801320039202,9.077109
8.056239,7.97008776338771,9.085191
8.174426,8.090666555275675,9.086299
8.236197,8.153829132788815,9.000338
8.222485,8.139471868867986,8.964745
8.076495,7.991104713699315,9.03045
8.145503,8.061813977896236,9.01162
8.24494,8.162594129389618,9.0740795
8.201586,8.118802516837604,9.023514
8.155979,8.074972541013267,9.070816
8.123924,8.038585924135987,9.116936
8.029426,7.9411064649466425,9.067169
8.197523,8.11555572663201,9.134371
